회사명,채용공고사항,링크,지역,경력,학력,월급
명화공업(주),2025년 본사 및 관계사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50049725&location=ts&searchType=search&paid_fl=n,서울 금천구,신입·경력,고졸↑,정규직·계약직
(주)현대계전,플랜트 건설 & 감리부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073198&location=ts&searchType=search&paid_fl=n,울산 울주군,신입·경력,학력무관,정규직·계약직
(주)서울랜드,2025년 서울랜드 총무/인사 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073261&location=ts&searchType=search&paid_fl=n,경기 과천시,신입·경력,대졸↑,정규직
(주)진성티이씨,"㈜진성티이씨 부문별 모집 (해석연구원, 생산직, 태국법인 생산관리)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073841&location=ts&searchType=search&paid_fl=n,경기 평택시,신입·경력,고졸↑,정규직
(주)클리오,2025년도 상반기 신입(인턴) 및 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49930740&location=ts&searchType=search&paid_fl=n,서울 성동구,신입·경력,학력무관,정규직·계약직
(주)비지에프푸드,분야별 신규직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49960242&location=ts&searchType=search&paid_fl=n,충북전체,신입·경력,고졸↑,정규직
(주)우진플라임,㈜우진플라임 부문별 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50034014&location=ts&searchType=search&paid_fl=n,충북 보은군,신입·경력,학력무관,정규직
(주)엘티엔터테인먼트,제주 드림타워 복합리조트 [카지노&호텔] 대규모 신입 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46858808&location=ts&searchType=search&paid_fl=n,제주 제주시,신입,학력무관,정규직·계약직
(주)케이씨파츠텍,2025 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49992583&location=ts&searchType=search&paid_fl=n,충남 천안시 서북구,경력무관,학력무관,정규직
케이비아이동국실업(주),KBI동국실업 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50004895&location=ts&searchType=search&paid_fl=n,충남 아산시,신입·경력,초대졸↑,정규직
극동건설(주),2025년 1분기 분야별 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49994917&location=ts&searchType=search&paid_fl=n,전국,신입·경력,초대졸↑,정규직·계약직
(주)아모텍,㈜아모텍 2025년 상반기 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49717178&location=ts&searchType=search&paid_fl=n,서울 서초구,신입·경력,초대졸↑,정규직
한국발전기술(주),한국발전기술(주) 전국 발전소 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045785&location=ts&searchType=search&paid_fl=n,강원 삼척시,신입·경력,대졸↑,계약직
한국북부발전(주),한국북부발전 운영 담당자 정규직 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50002446&location=ts&searchType=search&paid_fl=n,경기 포천시,경력무관,대졸↑,정규직
환경에너지솔루션(주),2025년도 상반기 신입/경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50080708&location=ts&searchType=search&paid_fl=n,서울 금천구,신입·경력,학력무관,정규직
(주) 엘에스에치,세종 4일근무2일휴무 제조사원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50076235&location=ts&searchType=search&paid_fl=n,세종특별자치시,경력무관,학력무관,정규직·무기계약직
(주)비츠로테크,[비츠로그룹] 2025 상반기 신입 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50032140&location=ts&searchType=search&paid_fl=n,서울 광진구,신입,대졸↑,정규직
오스템임플란트(주),영업/마케팅 및 경영지원/IT/SW/생산/물류 분야 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49836396&location=ts&searchType=search&paid_fl=n,전국,신입·경력,대졸↑,N/A
구찌코리아유한책임회사,2025 GUCCI KOREA 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50065978&location=ts&searchType=search&paid_fl=n,전국,신입·경력,학력무관,정규직
아이리움안과의원,[EYEREUM] 아이리움안과 진료부(외래) 신입/경력 코디네이터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50078906&location=ts&searchType=search&paid_fl=n,서울 강남구,경력무관,학력무관,정규직
