회사명,채용공고사항,링크,지역,경력,학력,월급
(주)에이피텍,(주)에이피텍 딥러닝 머신비전 및 LLM 전문가  채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49691360&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,인천 연수구,신입·경력,대졸↑,정규직
(주)카카오엔터테인먼트,Research Scientist(LLM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947482&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력3년↑,대졸↑,정규직
(주)넥서스커뮤니티,AI 개발(STT/LLM 모델 연구 및 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49819822&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,경력 7~15년,대졸↑,정규직
(주)넥서스커뮤니티,AI 개발(STT/LLM 모델 연구 및 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50089808&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,경력 7~15년,대졸↑,정규직
(주)스카우트,유망 생성 AI LLM 솔루션 스타트업 Finance manager(도쿄 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50059928&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~15년,대졸↑,정규직
한일네트웍스(주),한일네트웍스 LLM 서비스 개발자 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50019813&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,경력5년↑,대졸↑,정규직·계약직
(주)아이브릭스,[아이브릭스] LLM Application Engineer 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50049301&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력1년↑,대졸↑,정규직
(주)플랜아이,[플랜아이] LLM 서비스 개발 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49959908&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,대전 유성구,경력 2~5년,학력무관,정규직
(주)랩큐,[계약직][경력]LLM 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49961005&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,충북 음성군,경력 2~5년,초대졸↑,기간제·계약직
(주)인사이터,(경력) LLM 엔지니어를 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50039368&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 마포구,경력3년↑,대졸↑,정규직
(주)스카이월드와이드,데이터 사이언티스트[LLM] (6~8년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054158&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 6~8년,학력무관,정규직
(주)스카이월드와이드,데이터 사이언티스트[LLM] (9년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054170&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 9~20년,학력무관,정규직
(주)스카이월드와이드,데이터 사이언티스트[LLM] (3~5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054147&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~5년,학력무관,정규직
(주)스피링크,[TEXTNET] LLM 기반 풀스택 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50075267&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력3년↑,대졸↑,정규직
시너지파트너즈(주),[코스닥상장사] LLM 엔지니어 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50078797&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력 4~15년,대졸↑,정규직
(주)비전스페이스,로봇산업 분야 생성형 AI LLM RAG R&D 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49666806&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,대졸↑,정규직
(주)유어라운드,"[생성AI]LLM, DIffusion 연구원 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49968255&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,신입·경력,대졸↑,정규직·계약직
(주)핀커스코리아,국내대기업 - 언어모델 (LLM) 개발 경력직   채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50072123&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력3년↑,석사↑,정규직
(주)에이아이트릭스,Sr. Researcher (LLM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49962110&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 5~12년,대졸↑,정규직
(주)씨앤에이아이,[CNAI] LLM 개발자 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49987257&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력무관,학력무관,정규직
(주)제이투이,[REACT SM/SI 잠실] LLM관련 운영 및 화면 개발 (5),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50092308&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 송파구,경력7년↑,초대졸↑,프리랜서
(주)디엔소프트,LLM 랭체인 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49815775&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 금천구,경력무관,학력무관,정규직
(주)애자일소다,LLM Researcher (경력 5년이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49963435&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,신입·경력,대졸↑,정규직
(주)애자일소다,LLM Researcher (경력5년-10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49987333&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 5~10년,대졸↑,정규직
(주)애자일소다,LLM Researcher (경력11년-15년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997774&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 11~15년,대졸↑,정규직
에이치알클릭,글로벌 대기업 LLM 기술 대화형언어 개발자 긴급 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50030538&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 종로구,경력,석사↑,정규직
(주)디엔소프트,LLM 프롬프트 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50081758&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 금천구,경력무관,학력무관,정규직
(주)업스테이지,AI Research Engineer - LLM,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997664&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,신입·경력,학력무관,정규직
(주)업스테이지,[전문연구요원]AI연구엔지니어-LLM,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997674&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,신입·경력,학력무관,정규직
(주)업스테이지,AI Model Production - LLM,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997653&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,경력 2~20년,학력무관,정규직
(주)업스테이지,Senior Data Engineer - LLM,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997661&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,경력 7~15년,학력무관,정규직
(주)업스테이지,AI/LLM Curriculum Developer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49997629&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기전체,신입·경력,학력무관,정규직
(주)옵트에이아이,LLM 개발 및 최적화 Research 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49947756&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,신입·경력,대졸↑,정규직
(주)옵트에이아이,(병역특례가능) LLM 개발 및 최적화 Research 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49972279&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력무관,대졸↑,정규직·전문연구요원
(주)하이퍼리즘,LLM Agent Engineer (경력 무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50085713&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 관악구,경력무관,학력무관,정규직
